# VSM Evidence Workbench - Normalized Data Export
# Generated: 2026-04-30 20:57:01 UTC
# Source file: C:\Users\Administrator\OneDrive - Gannon University\Spring 2026\Senior Design\RigolDS0.csv
# Samples: 1000000
# CSV mode: preview_downsampled
# Note: Preview CSV downsampled to 50,000 rows for package size; metrics computed on full-resolution data.
# Sample rate: 10000000.0 Hz
#
ts,v_ab,v_an,v_bc,v_bn,v_ca,v_cn
0.0,-1.345369,0.0,2.864096,1.345369,-1.518727,-1.518727
2.000000000002e-06,-1.5061052,-0.1607362,2.864096,1.345369,-1.3579908,-1.518727
4.000000000004e-06,-1.503648,0.0,2.942442,1.503648,-1.438794,-1.438794
6.0000000000060005e-06,-1.50487608,-0.08036808,2.943235,1.424508,-1.43835892,-1.518727
8.000000000001062e-06,-1.42573708,-0.08036808,2.864096,1.345369,-1.43835892,-1.518727
1.0000000000003062e-05,-1.42573708,-0.08036808,2.864096,1.345369,-1.43835892,-1.518727
1.2000000000005062e-05,-1.42573708,-0.08036808,2.944029,1.345369,-1.51829192,-1.59866
1.4000000000000123e-05,-1.50487608,-0.08036808,2.943235,1.424508,-1.43835892,-1.518727
1.6000000000002124e-05,-1.50487608,-0.08036808,3.023168,1.424508,-1.51829192,-1.59866
1.8000000000004124e-05,-1.42573708,-0.08036808,2.944029,1.345369,-1.51829192,-1.59866
2.0000000000006124e-05,-1.424508,0.0,2.943235,1.424508,-1.518727,-1.518727
2.2000000000001185e-05,-1.424508,0.0,2.943235,1.424508,-1.518727,-1.518727
2.4000000000003185e-05,-1.42573708,-0.08036808,2.864096,1.345369,-1.43835892,-1.518727
2.6000000000005186e-05,-1.424508,0.0,2.863302,1.424508,-1.438794,-1.438794
2.8000000000000247e-05,-1.424508,0.0,3.023168,1.424508,-1.59866,-1.59866
3.0000000000002247e-05,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
3.200000000000425e-05,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
3.399999999999931e-05,-1.50487608,-0.08036808,2.943235,1.424508,-1.43835892,-1.518727
3.600000000000131e-05,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
3.800000000000331e-05,-1.5864732,-0.2411042,2.944029,1.345369,-1.3575558,-1.59866
4.000000000000531e-05,-1.42573708,-0.08036808,2.864096,1.345369,-1.43835892,-1.518727
4.200000000000037e-05,-1.345369,0.0,2.864096,1.345369,-1.518727,-1.518727
4.400000000000237e-05,-1.5852442,-0.1607362,3.023168,1.424508,-1.4379238,-1.59866
4.600000000000437e-05,-1.5073341999999998,-0.2411042,2.86489,1.26623,-1.3575558,-1.59866
4.799999999999943e-05,-1.5852442,-0.1607362,2.943235,1.424508,-1.3579908,-1.518727
5.000000000000143e-05,-1.50487608,-0.08036808,3.023168,1.424508,-1.51829192,-1.59866
5.200000000000343e-05,-1.5061052,-0.1607362,2.944029,1.345369,-1.4379238,-1.59866
5.400000000000543e-05,-1.7472094,-0.4018404,2.864096,1.345369,-1.1168866,-1.518727
